Strike,Date,District,Province,min_killed,max_killed ,min_civillians_killed,max_civillians_killed,min_children_killed,max_children_killed,min_injured,max_injured,Strike link,Timeline URL
AFG267,24/09/2016,Bermal,Paktika,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#273,
AFG268,25/09/2016,Bermal,Paktika,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#274,
AFG269,28/09/2016,Achin,Nangarhar,18,21,15,15,0,0,13,27,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#275,
AFG270,30/09/2016,Unknown,Unknown,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#277,
AFG271,03/10/2016,Kunduz city,Kunduz,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#278,
AFG272,03/10/2016,Nawa-i-Barakzayi,Helmand,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#280,
AFG273,04/10/2016,Achin,Nangarhar,13,13,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#276,
AFG274,08/10/2016,Achin and Deh Bala,Nangarhar,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#279,
AFG275,17/10/2016,Farah and Bakwah,Farah,70,70,0,0,0,0,30,30,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#281,
AFG276,19/10/2016,Seyagerd,Parwan,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#282,
AFG277,22/10/2016,Pachiragam,Nangarhar,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#283,
AFG278,23/10/2016,Unknown,Kunduz,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#284,
AFG279,28/10/2016,Sherzad,Nangarhar,2,4,2,4,0,0,0,30,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#285,
AFG280,28/10/2016,Ghaziabad,Kunar,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#286,
AFG281,30/10/2016,Achin,Nangarhar,11,11,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#287,
AFG282,31/10/2016,Dangam and Ghaziabad,Kunar,9,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#288,
AFG283,31/10/2016,Unknown,Unknown,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#296,
AFG284,03/11/2016,Kunduz city,Kunduz,58,59,32,33,20,20,53,62,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#289,
AFG285,04/11/2016,Khak e Safid,Farah,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#290,
AFG286,09/11/2016,Achin,Nangarhar,11,14,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#291,
AFG287,11/11/2016,Achin,Nangarhar,13,14,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#293,
AFG288,12/11/2016,Achin,Nangarhar,13,13,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#292,
AFG289,18/11/2016,Kot,Nangarhar,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#293,
AFG290,19/11/2016,Zumat,Paktia,1,1,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#294,
AFG291,20/11/2016,Achin,Nangarhar,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#295,
AFG292,27/11/2016,Haska Mena,Nangarhar,7,7,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#297,
AFG293,11/12/2016,Haska Mena,Nangarhar,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#298,
