Date,country,Maximum total people killed,Maximum civilians reported killed
2016-01-24,Afghanistan,13,0
2016-01-24,Afghanistan,4,0
2016-01-25,Afghanistan,5,0
2016-02-01,Afghanistan,29,0
2016-02-01,Afghanistan,19,0
2016-02-02,Afghanistan,4,0
2016-02-04,Afghanistan,15,0
2016-02-04,Afghanistan,3,0
2016-02-05,Afghanistan,16,0
2016-02-08,Afghanistan,11,0
2016-02-08,Afghanistan,15,0
2016-02-11,Afghanistan,18,0
2016-02-15,Afghanistan,15,0
2016-02-17,Afghanistan,6,0
2016-02-18,Afghanistan,6,0
2016-02-22,Afghanistan,25,0
2016-02-22,Afghanistan,0,0
2016-02-26,Afghanistan,3,0
2016-02-28,Afghanistan,9,0
2016-03-05,Afghanistan,15,0
2016-03-21,Afghanistan,8,0
2016-03-22,Afghanistan,8,0
2016-03-22,Afghanistan,5,0
2016-03-26,Afghanistan,11,0
2016-04-05,Afghanistan,6,0
2016-04-07,Afghanistan,4,0
2016-04-07,Afghanistan,3,0
2016-04-07,Afghanistan,21,21
2016-04-14,Afghanistan,0,0
2016-04-19,Afghanistan,5,0
2016-04-20,Afghanistan,4,0
2016-04-28,Afghanistan,15,0
2016-04-30,Afghanistan,38,0
2016-05-07,Afghanistan,1,0
2016-05-09,Afghanistan,12,0
2016-05-12,Afghanistan,1,0
2016-05-16,Afghanistan,3,0
2016-05-17,Afghanistan,5,0
2016-05-18,Afghanistan,1,0
2016-05-22,Afghanistan,13,0
2016-05-22,Afghanistan,9,0
2016-05-26,Afghanistan,6,0
2016-05-26,Afghanistan,4,0
2016-05-26,Afghanistan,2,0
2016-05-26,Afghanistan,7,0
2016-05-29,Afghanistan,6,0
2016-05-29,Afghanistan,22,0
2016-05-29,Afghanistan,2,0
2016-05-29,Afghanistan,2,0
2016-06-02,Afghanistan,10,0
2016-06-08,Afghanistan,2,0
2016-06-11,Afghanistan,6,0
2016-06-11,Afghanistan,11,3
2016-06-11,Afghanistan,6,0
2016-06-14,Afghanistan,10,0
2016-06-15,Afghanistan,21,0
2016-06-18,Afghanistan,8,0
2016-06-18,Afghanistan,27,0
2016-06-21,Afghanistan,5,0
2016-06-22,Afghanistan,4,0
2016-06-23,Afghanistan,7,0
2016-06-24,Afghanistan,0,0
2016-06-25,Afghanistan,16,15
2016-06-26,Afghanistan,30,0
2016-06-27,Afghanistan,16,0
2016-06-28,Afghanistan,14,0
2016-06-29,Afghanistan,10,0
2016-06-29,Afghanistan,10,0
2016-07-03,Afghanistan,12,0
2016-07-03,Afghanistan,19,0
2016-07-03,Afghanistan,11,0
2016-07-05,Afghanistan,12,0
2016-07-08,Afghanistan,16,0
2016-07-09,Afghanistan,8,0
2016-07-09,Afghanistan,0,0
2016-07-11,Afghanistan,4,0
2016-07-13,Afghanistan,12,0
2016-07-13,Afghanistan,26,0
2016-07-14,Afghanistan,12,0
2016-07-14,Afghanistan,4,0
2016-07-15,Afghanistan,30,0
2016-07-16,Afghanistan,15,0
2016-07-16,Afghanistan,6,0
2016-07-19,Afghanistan,0,0
2016-07-19,Afghanistan,5,0
2016-07-20,Afghanistan,15,0
2016-07-23,Afghanistan,8,0
2016-07-23,Afghanistan,0,0
2016-07-26,Afghanistan,1,0
2016-07-27,Afghanistan,6,0
2016-07-27,Afghanistan,2,0
2016-07-31,Afghanistan,0,0
2016-08-01,Afghanistan,2,0
2016-08-11,Afghanistan,0,0
2016-08-12,Afghanistan,25,5
2016-08-13,Afghanistan,2,0
2016-08-22,Afghanistan,4,0
2016-08-24,Afghanistan,0,0
2016-08-25,Afghanistan,32,8
2016-08-29,Afghanistan,120,0
2016-08-30,Afghanistan,6,0
2016-08-31,Afghanistan,17,0
2016-08-31,Afghanistan,0,0
2016-09-02,Afghanistan,7,0
2016-09-09,Afghanistan,0,0
2016-09-10,Afghanistan,4,0
